# RANK         NAME              POSE #   SCORE
       1                  lig     1   -8.420
       2                  lig     2   -8.400
       3                  lig     3   -7.860
       4                  lig     4   -7.750
       5                  lig     5   -7.740
       6                  lig     6   -7.670
       7                  lig     7   -7.660
       8                  lig     8   -7.610
       9                  lig     9   -7.520
      10                  lig    10   -7.280
