# RANK         NAME              POSE #   SCORE
       1                  lig     1  -12.400
       2                  lig     2  -12.160
       3                  lig     3  -12.120
       4                  lig     4  -12.080
       5                  lig     5  -11.990
       6                  lig     6  -11.980
       7                  lig     7  -11.860
       8                  lig     8  -10.720
       9                  lig     9   -8.590
      10                  lig    10   -8.280
